,race,rank_id,horse_no,actual_pound,position,head_distance,participants,blocking_1,blocking_2,blocking_3,blocking_4,blocking_5,blocking_6,temper,order,distance,narrow,ground
33,202005037,627,C369,0.8,0.8,1.383333333,0.75,0.933333333,0.933333333,0.933333333,0.866666667,0,0,0.506547619,0.866666667,0.5,0.714285714,1
34,202005037,627,C430,0.6,0.066666667,1.15,0.75,0.2,0.2,0.133333333,0.8,0,0,0.213392857,0.8,0.5,0.714285714,1
35,202005037,627,C471,0.525,0.266666667,1.15,0.75,0.6,0.6,0.733333333,0.733333333,0,0,0.42827381,0.733333333,0.5,0.714285714,1
36,202005037,627,C437,0.65,0.6,0.716666667,0.75,0.466666667,0.466666667,0.8,0.666666667,0,0,0.606547619,0.666666667,0.5,0.714285714,1
37,202005037,627,C152,0.6,0.466666667,0,0.75,0.333333333,0.266666667,0.2,0.066666667,0,0,0.596551227,0.066666667,0.5,0.714285714,1
38,202005036,626,C300,0.4,0.166666667,0.5,0.6,0.75,0.583333333,0.75,0,0,0,0.398833623,0.75,0.166666667,0,0.5
39,202005036,626,C161,0.425,0.333333333,0.479166667,0.6,0.833333333,0.916666667,0.666666667,0,0,0,0.488644689,0.666666667,0.166666667,0,0.5
40,202005036,626,V161,0.8,0.5,0.395833333,0.6,0.583333333,0.833333333,0.583333333,0,0,0,0.65472028,0.583333333,0.166666667,0,0.5
41,202005036,626,B437,0.45,0.666666667,0.291666667,0.6,0.333333333,0.416666667,0.5,0,0,0,0.442927171,0.5,0.166666667,0,0.5
42,202005036,626,V255,0.45,0.583333333,0.270833333,0.6,0.916666667,1,0.416666667,0,0,0,0.587897436,0.416666667,0.166666667,0,0.5
43,202005036,626,B141,0.575,1,0.1875,0.6,0.083333333,0.083333333,0.333333333,0,0,0,0.337899006,0.333333333,0.166666667,0,0.5
44,202005036,626,C006,0.675,0.833333333,0.145833333,0.6,0.666666667,0.666666667,0.25,0,0,0,0.519481074,0.25,0.166666667,0,0.5
45,202005036,626,C293,0.575,0.083333333,0.104166667,0.6,0.416666667,0.25,0.166666667,0,0,0,0.484920635,0.166666667,0.166666667,0,0.5
